riskAllele	pValue	pValueAnnotation	riskFrequency	orValue	beta	ci	mappedGenes	traitName	efoTraits	bgTraits	accessionId	locations	pubmedId	author
rs2449565-G	2E-6	-	0.61	2.3	-	[1.6-3.3]	DOCK2	"Coronary artery aneurysm in Kawasaki disease"	"coronary aneurysm"	"mucocutaneous lymph node syndrome"	GCST90013538	5:169708658	33772158	"Hoggart C"
rs10762437-G	4E-6	-	0.16	2.5	-	[1.7-3.8]	UNC5B	"Coronary artery aneurysm in Kawasaki disease"	"coronary aneurysm"	"mucocutaneous lymph node syndrome"	GCST90013538	10:71298712	33772158	"Hoggart C"
rs35932034-C	4E-6	-	0.11	0.2	-	[0.09-0.4]	LINC00882,Y_RNA	"Coronary artery aneurysm in Kawasaki disease"	"coronary aneurysm"	"mucocutaneous lymph node syndrome"	GCST90013538	3:106543458	33772158	"Hoggart C"
rs1989051-C	4E-6	-	0.57	2.2	-	[1.6-3.1]	RN7SKP226,LINC00824	"Coronary artery aneurysm in Kawasaki disease"	"coronary aneurysm"	"mucocutaneous lymph node syndrome"	GCST90013538	8:128281872	33772158	"Hoggart C"
rs899162-A	2E-7	-	0.141	3.2	-	[2.02-5.05]	SLC25A48,TIFAB	"Coronary artery aneurysm in Kawasaki disease"	"coronary aneurysm"	"mucocutaneous lymph node syndrome"	GCST007192	5:135459219	30267110	"Kwon YC"
rs6702619-T	8E-35	-	0.5978	-	"0.1334 unit decrease"	[0.12-0.15]	LINC01708	"Nonrheumatic aortic valve disorders (PheCode 395.2)"	"aortic valve disease"	-	GCST90480120	1:99580690	39024449	"Verma A"
rs10192407-A	4E-21	-	0.5372	-	"0.0965 unit increase"	[0.075-0.118]	TEX41	"Nonrheumatic aortic valve disorders (PheCode 395.2)"	"aortic valve disease"	-	GCST90480120	2:145056811	39024449	"Verma A"
rs2421651-A	2E-14	-	0.5347	-	"0.07928 unit decrease"	[0.061-0.098]	MECOM	"Nonrheumatic aortic valve disorders (PheCode 395.2)"	"aortic valve disease"	-	GCST90480120	3:169488705	39024449	"Verma A"
rs11153733-T	7E-13	-	0.9601	-	"0.1698 unit decrease"	[0.13-0.21]	SLC35F1,CEP85L	"Nonrheumatic aortic valve disorders (PheCode 395.2)"	"aortic valve disease"	-	GCST90480120	6:118403564	39024449	"Verma A"
rs74617384-A	2E-65	-	0.946	-	"0.3382 unit decrease"	[0.31-0.37]	LPA	"Nonrheumatic aortic valve disorders (PheCode 395.2)"	"aortic valve disease"	-	GCST90480120	6:160576086	39024449	"Verma A"
rs1554606-T	9E-20	-	0.4102	-	"0.09259 unit increase"	[0.071-0.114]	IL6	"Nonrheumatic aortic valve disorders (PheCode 395.2)"	"aortic valve disease"	-	GCST90480120	7:22729088	39024449	"Verma A"
rs174551-T	3E-19	-	0.7013	-	"0.09799 unit increase"	[0.075-0.121]	FADS1,FADS2	"Nonrheumatic aortic valve disorders (PheCode 395.2)"	"aortic valve disease"	-	GCST90480120	11:61806212	39024449	"Verma A"
rs56094641-A	6E-12	-	0.6678	-	"0.07389 unit decrease"	[0.055-0.093]	FTO	"Nonrheumatic aortic valve disorders (PheCode 395.2)"	"aortic valve disease"	-	GCST90480120	16:53772541	39024449	"Verma A"
rs531113682-G	2E-12	-	0.9995	-	"2.252 unit decrease"	[2.2-2.3]	LINC02466	"Cardiac arrest (PheCode 427.42)"	"cardiac arrest"	-	GCST90480173	4:129618474	39024449	"Verma A"
rs62183358-G	4E-11	-	0.9995	-	"4.064 unit decrease"	[4.05-4.08]	CHN1	"Cardiac arrest and ventricular (PheCode 427.4)"	"cardiac arrest"	-	GCST90480174	2:174900662	39024449	"Verma A"
rs553426062-G	2E-12	-	0.9992	-	"2.239 unit decrease"	[2.19-2.29]	IGFBP7-AS1	"Cardiac arrest and ventricular (PheCode 427.4)"	"cardiac arrest"	-	GCST90480174	4:57184640	39024449	"Verma A"
rs530716884-C	9E-12	-	0.9997	-	"3.154 unit decrease"	[3.13-3.18]	CELF2-DT,ORMDL1P1	"Cardiac arrest and ventricular (PheCode 427.4)"	"cardiac arrest"	-	GCST90480174	10:10620366	39024449	"Verma A"
rs148826670-C	3E-11	-	0.9993	-	"2.186 unit decrease"	[2.13-2.24]	PARD3	"Cardiac arrest and ventricular (PheCode 427.4)"	"cardiac arrest"	-	GCST90480174	10:34174113	39024449	"Verma A"
rs189411968-G	1E-11	-	0.9976	-	"1.872 unit decrease"	[1.81-1.94]	LINC02392,ATP2B1-AS1	"Cardiac arrest and ventricular (PheCode 427.4)"	"cardiac arrest"	-	GCST90480174	12:90145752	39024449	"Verma A"
rs55872725-C	8E-15	-	0.5963	-	"0.07971 unit decrease"	[0.059-0.1]	FTO	"Nonrheumatic aortic valve disorders (PheCode 395.2)"	"aortic valve disease"	-	GCST90475914	16:53775211	39024449	"Verma A"
chr2:145796251-G	7E-25	-	0.547	-	"0.1045 unit decrease"	[0.084-0.125]	-	"Nonrheumatic aortic valve disorders (PheCode 395.2)"	"aortic valve disease"	-	GCST90475914	-	39024449	"Verma A"
chr3:169207475-C	2E-14	-	0.4875	-	"0.07826 unit decrease"	[0.058-0.099]	-	"Nonrheumatic aortic valve disorders (PheCode 395.2)"	"aortic valve disease"	-	GCST90475914	-	39024449	"Verma A"
chr7:22770149-G	3E-21	-	0.4469	-	"0.09745 unit increase"	[0.077-0.118]	-	"Nonrheumatic aortic valve disorders (PheCode 395.2)"	"aortic valve disease"	-	GCST90475914	-	39024449	"Verma A"
chr11:61557803-T	3E-21	-	0.6598	-	"0.1018 unit increase"	[0.08-0.124]	-	"Nonrheumatic aortic valve disorders (PheCode 395.2)"	"aortic valve disease"	-	GCST90475914	-	39024449	"Verma A"
chr15:43040387-G	1E-13	-	0.7912	-	"0.09385 unit increase"	[0.068-0.12]	-	"Nonrheumatic aortic valve disorders (PheCode 395.2)"	"aortic valve disease"	-	GCST90475914	-	39024449	"Verma A"
chr22:38105810-C	7E-13	-	0.4078	-	"0.07785 unit decrease"	[0.056-0.1]	-	"Nonrheumatic aortic valve disorders (PheCode 395.2)"	"aortic valve disease"	-	GCST90475914	-	39024449	"Verma A"
rs117202424-G	1E-15	-	0.9491	-	"0.1775 unit decrease"	[0.13-0.22]	CEP85L	"Nonrheumatic aortic valve disorders (PheCode 395.2)"	"aortic valve disease"	-	GCST90475914	6:118500543	39024449	"Verma A"
rs6702619-T	1E-41	-	0.5123	-	"0.1399 unit decrease"	[0.12-0.16]	LINC01708	"Nonrheumatic aortic valve disorders (PheCode 395.2)"	"aortic valve disease"	-	GCST90475914	1:99580690	39024449	"Verma A"
rs74617384-A	3E-69	-	0.9327	-	"0.3373 unit decrease"	[0.3-0.37]	LPA	"Nonrheumatic aortic valve disorders (PheCode 395.2)"	"aortic valve disease"	-	GCST90475914	6:160576086	39024449	"Verma A"
rs10799599-C	1E-6	-	0.62	1.26	-	[1.15-1.39]	RN7SL304P,PLA2G2E	"Immunoglobulin light chain (AL) amyloidosis"	"AL amyloidosis"	-	GCST004028	1:19968007	28025584	"da Silva Filho MI"
rs142802669-C	3E-6	-	0.17	1.3	-	[1.16-1.45]	ULK4	"Immunoglobulin light chain (AL) amyloidosis"	"AL amyloidosis"	-	GCST004028	3:41827935	28025584	"da Silva Filho MI"
rs4487645-C	2E-9	-	0.67	1.35	-	[1.22-1.49]	DNAH11	"Immunoglobulin light chain (AL) amyloidosis"	"AL amyloidosis"	-	GCST004028	7:21898622	28025584	"da Silva Filho MI"
rs79419269-C	5E-8	-	0.12	1.41	-	[1.25-1.60]	CHPF2,SMARCD3	"Immunoglobulin light chain (AL) amyloidosis"	"AL amyloidosis"	-	GCST004028	7:151239990	28025584	"da Silva Filho MI"
rs9344-G	8E-11	-	0.56	1.35	-	[1.23-1.48]	CCND1	"Immunoglobulin light chain (AL) amyloidosis"	"AL amyloidosis"	-	GCST004028	11:69648142	28025584	"da Silva Filho MI"
rs11219122-C	2E-6	-	0.35	1.25	-	[1.14-1.37]	GRAMD1B	"Immunoglobulin light chain (AL) amyloidosis"	"AL amyloidosis"	-	GCST004028	11:123369465	28025584	"da Silva Filho MI"
rs2273156-C	3E-6	-	0.19	1.29	-	[1.16-1.44]	SRP54-AS1	"Immunoglobulin light chain (AL) amyloidosis"	"AL amyloidosis"	-	GCST004028	14:34969593	28025584	"da Silva Filho MI"
rs35629860-A	4E-6	-	0.26	1.26	-	[1.14-1.39]	FBRS	"Immunoglobulin light chain (AL) amyloidosis"	"AL amyloidosis"	-	GCST004028	16:30660211	28025584	"da Silva Filho MI"
rs4792800-G	2E-6	-	0.12	1.36	-	[1.20-1.54]	TNFRSF13B	"Immunoglobulin light chain (AL) amyloidosis"	"AL amyloidosis"	-	GCST004028	17:16941853	28025584	"da Silva Filho MI"
rs1005300-G	8E-8	-	0.59	1.29	-	[1.17-1.41]	CBX7	"Immunoglobulin light chain (AL) amyloidosis"	"AL amyloidosis"	-	GCST004028	22:39151886	28025584	"da Silva Filho MI"
rs187698017-C	2E-11	-	0.997	-	"2.273 unit decrease"	[2.22-2.32]	TRIP4	"Acute pericarditis (PheCode 420.21)"	pericarditis	-	GCST90480144	15:64390763	39024449	"Verma A"
rs560709118-A	2E-11	-	0.999	-	"2.123 unit decrease"	[2.07-2.18]	RNA5SP443,ARHGAP27	"Acute pericarditis (PheCode 420.21)"	pericarditis	-	GCST90480144	17:45370462	39024449	"Verma A"
rs772660139-G	2E-11	-	0.9996	-	"2.767 unit decrease"	[2.73-2.8]	SLC14A2,SLC14A2-AS1	"Acute pericarditis (PheCode 420.21)"	pericarditis	-	GCST90480144	18:45432882	39024449	"Verma A"
rs2895799-C	4E-11	-	0.1351	-	"0.2032 unit increase"	[0.13-0.27]	PTPRQ	"Pericarditis (PheCode 420.2)"	pericarditis	-	GCST90480145	12:80497071	39024449	"Verma A"
rs564094809-C	3E-12	-	0.9997	-	"3.46 unit decrease"	[3.44-3.48]	MIR3143,RPL10P2	"Acute pericarditis (PheCode 420.21)"	pericarditis	-	GCST90480144	6:27187745	39024449	"Verma A"
rs144211882-A	4E-11	-	0.9996	-	"3.008 unit decrease"	[2.98-3.04]	RN7SL366P,C6orf118	"Acute pericarditis (PheCode 420.21)"	pericarditis	-	GCST90480144	6:165178309	39024449	"Verma A"
rs190370190-A	1E-11	-	0.9989	-	"2.398 unit decrease"	[2.35-2.44]	KCTD9P6,RNA5SP261	"Acute pericarditis (PheCode 420.21)"	pericarditis	-	GCST90480144	8:31541341	39024449	"Verma A"
rs148428765-C	5E-12	-	0.9992	-	"3.044 unit decrease"	[3.02-3.07]	MRPS21P6,RPS27P18	"Acute pericarditis (PheCode 420.21)"	pericarditis	-	GCST90480144	10:125217698	39024449	"Verma A"
rs966455665-A	2E-11	-	0.999	-	"2.656 unit decrease"	[2.62-2.69]	LINC02450,MRPS36P5	"Acute pericarditis (PheCode 420.21)"	pericarditis	-	GCST90480144	12:42830929	39024449	"Verma A"
rs552767609-A	6E-13	-	0.9976	-	"2.289 unit decrease"	[2.24-2.34]	EXD2,GALNT16-AS1	"Acute pericarditis (PheCode 420.21)"	pericarditis	-	GCST90480144	14:69203273	39024449	"Verma A"
rs181429600-A	2E-11	-	0.9994	-	"2.953 unit decrease"	[2.92-2.98]	GLDN	"Acute pericarditis (PheCode 420.21)"	pericarditis	-	GCST90480144	15:51404072	39024449	"Verma A"
rs183394800-G	3E-11	-	0.9995	-	"2.744 unit decrease"	[2.71-2.78]	ALDH1A2,LIPC-AS1,LIPC	"Acute pericarditis (PheCode 420.21)"	pericarditis	-	GCST90480144	15:58460656	39024449	"Verma A"
rs568455465-A	2E-11	-	0.9991	-	"3.455 unit decrease"	[3.43-3.48]	PLCH2,PEX10	"Acute pericarditis (PheCode 420.21)"	pericarditis	-	GCST90480144	1:2417593	39024449	"Verma A"
rs568031359-C	7E-12	-	0.9997	-	"3.049 unit decrease"	[3.02-3.08]	RN7SKP27,LINC02923	"Acute pericarditis (PheCode 420.21)"	pericarditis	-	GCST90480144	2:23281900	39024449	"Verma A"
rs181673904-C	9E-12	-	0.9998	-	"3.944 unit decrease"	[3.93-3.96]	DPP4	"Acute pericarditis (PheCode 420.21)"	pericarditis	-	GCST90480144	2:162002899	39024449	"Verma A"
rs556330122-G	8E-13	-	0.9987	-	"2.323 unit decrease"	[2.28-2.37]	HS3ST1,LINC02360	"Acute pericarditis (PheCode 420.21)"	pericarditis	-	GCST90480144	4:11557934	39024449	"Verma A"
rs567653481-T	3E-12	-	0.9989	-	"2.793 unit decrease"	[2.76-2.83]	COL25A1	"Acute pericarditis (PheCode 420.21)"	pericarditis	-	GCST90480144	4:108935005	39024449	"Verma A"
rs567746402-G	9E-13	-	0.9997	-	"4.033 unit decrease"	[4.02-4.04]	DNAJC8P3,MIR4472-1	"Acute pericarditis (PheCode 420.21)"	pericarditis	-	GCST90480144	8:142108045	39024449	"Verma A"
rs544749498-C	2E-11	-	0.9995	-	"3.114 unit decrease"	[3.09-3.14]	RXRA	"Acute pericarditis (PheCode 420.21)"	pericarditis	-	GCST90480144	9:134347727	39024449	"Verma A"
rs2234962-?	4E-12	-	NR	1.52	-	[1.22-1.89]	BAG3	"Idiopathic dilated cardiomyopathy"	"dilated cardiomyopathy"	-	GCST001023	10:119670121	21459883	"Villard E"
rs10927875-?	1E-9	-	NR	1.32	-	[1.19-1.43]	ZBTB17	"Idiopathic dilated cardiomyopathy"	"dilated cardiomyopathy"	-	GCST001023	1:15972817	21459883	"Villard E"
rs2291569-G	7E-10	-	0.9163	-	-	[NR]	FLNC	"Dilated cardiomyopathy"	"dilated cardiomyopathy"	-	GCST011210	7:128848680	33495596	"Tadros R"
rs2234962-T	2E-32	-	0.7785	-	-	[NR]	BAG3	"Dilated cardiomyopathy"	"dilated cardiomyopathy"	-	GCST011210	10:119670121	33495596	"Tadros R"
rs2182400-G	2E-6	-	0.2418	-	-	[NR]	SVIL-AS1	"Dilated cardiomyopathy"	"dilated cardiomyopathy"	-	GCST011210	10:29418622	33495596	"Tadros R"
rs1051168-T	8E-8	-	0.2591	-	-	[NR]	NMB	"Dilated cardiomyopathy"	"dilated cardiomyopathy"	-	GCST011210	15:84657289	33495596	"Tadros R"
rs2303510-G	5E-6	-	0.6786	-	-	[NR]	FHOD3	"Dilated cardiomyopathy"	"dilated cardiomyopathy"	-	GCST011210	18:36744128	33495596	"Tadros R"
rs10927875-C	6E-18	-	0.6729	-	-	[NR]	ZBTB17	"Dilated cardiomyopathy"	"dilated cardiomyopathy"	-	GCST011210	1:15972817	33495596	"Tadros R"
rs10927875-C	8E-25	-	0.6729	1.1383014	-	1.11-1.17	ZBTB17	"Dilated cardiomyopathy (MTAG)"	"dilated cardiomyopathy"	-	GCST011202	1:15972817	33495596	"Tadros R"
rs2291569-G	9E-12	-	0.9163	1.1621951	-	1.11-1.21	FLNC	"Dilated cardiomyopathy (MTAG)"	"dilated cardiomyopathy"	-	GCST011202	7:128848680	33495596	"Tadros R"
rs2234962-T	7E-38	-	0.7785	1.208007	-	1.17-1.24	BAG3	"Dilated cardiomyopathy (MTAG)"	"dilated cardiomyopathy"	-	GCST011202	10:119670121	33495596	"Tadros R"
rs2042995-T	1E-13	-	0.7759	1.1105345	-	1.08-1.14	TTN,TTN-AS1	"Dilated cardiomyopathy (MTAG)"	"dilated cardiomyopathy"	-	GCST011202	2:178693639	33495596	"Tadros R"
rs6807275-G	9E-9	-	0.659	1.0828938	-	1.05-1.11	LSM3,LINC01267	"Dilated cardiomyopathy (MTAG)"	"dilated cardiomyopathy"	-	GCST011202	3:14232951	33495596	"Tadros R"
rs4713999-G	7E-14	-	0.6683	1.1100773	-	1.08-1.14	Y_RNA,RNU1-88P	"Dilated cardiomyopathy (MTAG)"	"dilated cardiomyopathy"	-	GCST011202	6:36665292	33495596	"Tadros R"
rs13265989-G	5E-9	-	0.2932	1.0921032	-	1.06-1.12	OR7E158P,OR7E161P	"Dilated cardiomyopathy (MTAG)"	"dilated cardiomyopathy"	-	GCST011202	8:11922131	33495596	"Tadros R"
rs12541595-G	2E-11	-	0.69	1.1004212	-	1.07-1.13	LINC00964	"Dilated cardiomyopathy (MTAG)"	"dilated cardiomyopathy"	-	GCST011202	8:124845117	33495596	"Tadros R"
rs2182400-G	2E-9	-	0.2418	1.0969799	-	1.06-1.13	SVIL-AS1	"Dilated cardiomyopathy (MTAG)"	"dilated cardiomyopathy"	-	GCST011202	10:29418622	33495596	"Tadros R"
rs1051168-T	3E-11	-	0.2591	1.0934405	-	1.06-1.12	NMB	"Dilated cardiomyopathy (MTAG)"	"dilated cardiomyopathy"	-	GCST011202	15:84657289	33495596	"Tadros R"
rs9892651-C	5E-9	-	0.4165	1.0811907	-	1.05-1.11	PRKCA	"Dilated cardiomyopathy (MTAG)"	"dilated cardiomyopathy"	-	GCST011202	17:66307675	33495596	"Tadros R"
rs2303510-G	4E-9	-	0.6786	1.0774354	-	1.05-1.10	FHOD3	"Dilated cardiomyopathy (MTAG)"	"dilated cardiomyopathy"	-	GCST011202	18:36744128	33495596	"Tadros R"
rs2186370-G	4E-11	-	0.8086	1.1168042	-	1.08-1.15	SMARCB1	"Dilated cardiomyopathy (MTAG)"	"dilated cardiomyopathy"	-	GCST011202	22:23829118	33495596	"Tadros R"
rs62232870-A	5E-13	-	0.23	1.36	-	[1.25-1.48]	LSM3,LINC01267	"Dilated cardiomyopathy"	"dilated cardiomyopathy"	-	GCST012211	3:14216209	33677556	"Garnier S"
rs148248535-T	3E-8	-	0.82	1.31	-	[1.19-1.45]	PKD1	"Dilated cardiomyopathy"	"dilated cardiomyopathy"	-	GCST012211	16:2133448	33677556	"Garnier S"
rs7284877-C	5E-10	-	0.81	1.33	-	[1.22-1.46]	SMARCB1	"Dilated cardiomyopathy"	"dilated cardiomyopathy"	-	GCST012211	22:23812924	33677556	"Garnier S"
rs3746446-G	1E-8	-	0.18	1.23	-	-	MYH7B	"Congenital left-sided heart lesions"	"congenital left-sided heart lesions"	-	GCST003419	20:34986962	26965164	"Hanchard NA"
rs12045807-C	9E-7	-	0.089	1.61	-	-	ENSA	"Congenital left-sided heart lesions"	"congenital left-sided heart lesions"	-	GCST003419	1:150612358	26965164	"Hanchard NA"
rs8061121-?	4E-9	(EA)	0.11	2.65	-	[1.89-3.71]	C16orf95	"Congenital left-sided heart lesions"	"congenital left-sided heart lesions"	-	GCST002572	16:87159478	25138779	"Mitchell LE"
rs1975649-?	3E-7	-	0.33	1.65	-	[1.36-2.01]	SYNPR,SYNPR-AS1	"Congenital left-sided heart lesions"	"congenital left-sided heart lesions"	-	GCST002572	3:63453210	25138779	"Mitchell LE"
rs6495706-?	9E-6	(EA)	0.94	2.13	-	[1.52-3.03]	LINC02252,GJD2	"Congenital left-sided heart lesions"	"congenital left-sided heart lesions"	-	GCST002572	15:34684669	25138779	"Mitchell LE"
rs35437121-?	4E-8	-	NR	2.27	-	[1.68-3.03]	ARHGEF4	"Congenital left-sided heart lesions"	"congenital left-sided heart lesions"	-	GCST011986	2:131011875	33201861	"Lahm H"
rs114503684-?	5E-8	-	NR	3.53	-	[2.25-5.58]	TFDP2	"Congenital left-sided heart lesions"	"congenital left-sided heart lesions"	-	GCST011986	3:142116127	33201861	"Lahm H"
rs2046060-?	7E-8	-	NR	1.57	-	[1.34-1.86]	LPP-AS2,LINC01991	"Congenital left-sided heart lesions"	"congenital left-sided heart lesions"	-	GCST011986	3:188134698	33201861	"Lahm H"
rs11514295-?	6E-6	-	NR	1.978587	-	[1.474307-2.655353]	PRANCR	"Left ventricular obstructive tract defect (inherited effect)"	"congenital left-sided heart lesions"	-	GCST004719	12:69984473	28468790	"Agopian AJ"
rs74095902-?	8E-6	-	NR	2.3337548	-	[1.61-3.39]	RABEPKP1,DACH1	"Left ventricular obstructive tract defect (inherited effect)"	"congenital left-sided heart lesions"	-	GCST004719	13:71427529	28468790	"Agopian AJ"
rs6542647-?	8E-6	-	NR	1.742965	-	[1.37-2.22]	RNU6-649P,LINC01249	"Left ventricular obstructive tract defect (inherited effect)"	"congenital left-sided heart lesions"	-	GCST004719	2:4898655	28468790	"Agopian AJ"
rs6811802-?	5E-6	-	NR	2.009446	-	[1.490896-2.708352]	HNRNPA1P56,FRAS1	"Left ventricular obstructive tract defect (inherited effect)"	"congenital left-sided heart lesions"	-	GCST004719	4:78011684	28468790	"Agopian AJ"
rs72820264-?	2E-8	-	NR	2.048016	-	[1.594315-2.63083]	HULC	"Left ventricular obstructive tract defect (inherited effect)"	"congenital left-sided heart lesions"	-	GCST004719	6:9291650	28468790	"Agopian AJ"
rs11755054-?	3E-6	-	NR	1.560273	-	[1.295775-1.878761]	CASC15,LINC03005	"Left ventricular obstructive tract defect (inherited effect)"	"congenital left-sided heart lesions"	-	GCST004719	6:22656836	28468790	"Agopian AJ"
rs733317-?	7E-6	-	NR	1.642646	-	[1.322779-2.039862]	ADCYAP1R1,GHRHR	"Left ventricular obstructive tract defect (inherited effect)"	"congenital left-sided heart lesions"	-	GCST004719	7:31017952	28468790	"Agopian AJ"
rs74377301-?	2E-6	-	NR	1.6310102	-	[1.33-2]	ASB15,ASB15-AS1	"Left ventricular obstructive tract defect (inherited effect)"	"congenital left-sided heart lesions"	-	GCST004719	7:123592441	28468790	"Agopian AJ"
rs1379134-?	4E-6	-	NR	2.6964426	-	[1.77-4.1]	ZMAT4,RNU6-356P	"Left ventricular obstructive tract defect (inherited effect)"	"congenital left-sided heart lesions"	-	GCST004719	8:41028059	28468790	"Agopian AJ"
rs672149-?	3E-6	-	NR	1.604462	-	[1.314302-1.958681]	FLI1	"Left ventricular obstructive tract defect (inherited effect)"	"congenital left-sided heart lesions"	-	GCST004719	11:128759487	28468790	"Agopian AJ"
rs7623291-?	6E-6	-	NR	1.5704628	-	[1.29-1.91]	KCNMB2-AS1,KCNMB2	"Left ventricular obstructive tract defect (inherited effect)"	"congenital left-sided heart lesions"	-	GCST004719	3:178638449	28468790	"Agopian AJ"
rs11159840-?	2E-6	-	NR	1.6105342	-	[1.32-1.96]	HISLA	"Left ventricular obstructive tract defect (inherited effect)"	"congenital left-sided heart lesions"	-	GCST004719	14:88090181	28468790	"Agopian AJ"
rs11894932-?	1E-7	-	NR	2.253714	-	[1.66-3.05]	MGAT4A	"Left ventricular obstructive tract defect (inherited effect)"	"congenital left-sided heart lesions"	-	GCST004719	2:98648723	28468790	"Agopian AJ"
rs2567992-?	4E-6	-	NR	1.808068	-	[1.405743-2.325539]	P2RX4	"Left ventricular obstructive tract defect (inherited effect)"	"congenital left-sided heart lesions"	-	GCST004719	12:121228050	28468790	"Agopian AJ"
rs7465601-?	8E-6	-	NR	1.593473	-	[1.298288-1.955773]	SNORA72,IADEN	"Left ventricular obstructive tract defect (inherited effect)"	"congenital left-sided heart lesions"	-	GCST004719	8:131375210	28468790	"Agopian AJ"
rs7607140-?	2E-6	-	NR	2.511428	-	[1.712819-3.682393]	UPP2	"Left ventricular obstructive tract defect (maternal effect)"	"congenital left-sided heart lesions"	-	GCST004722	2:157946200	28468790	"Agopian AJ"
rs11766524-?	7E-6	-	NR	1.9189513	-	[1.44-2.55]	LINC02476	"Left ventricular obstructive tract defect (maternal effect)"	"congenital left-sided heart lesions"	-	GCST004722	7:119948217	28468790	"Agopian AJ"
rs1572202-?	5E-6	-	NR	1.7677933	-	[1.38-2.26]	TMEM72-AS1,RPL9P21	"Left ventricular obstructive tract defect (maternal effect)"	"congenital left-sided heart lesions"	-	GCST004722	10:44514712	28468790	"Agopian AJ"
rs1468498-?	7E-6	-	NR	2.001637	-	[1.47963-2.707806]	AFAP1L2	"Left ventricular obstructive tract defect (maternal effect)"	"congenital left-sided heart lesions"	-	GCST004722	10:114306461	28468790	"Agopian AJ"
rs12509281-?	2E-6	-	NR	2.2064974	-	[1.59-3.06]	FRAS1	"Left ventricular obstructive tract defect (maternal effect)"	"congenital left-sided heart lesions"	-	GCST004722	4:78480280	28468790	"Agopian AJ"
rs1642645-?	8E-7	-	NR	1.8843181	-	[1.47-2.42]	HIVEP3,HNRNPFP1	"Left ventricular obstructive tract defect (maternal effect)"	"congenital left-sided heart lesions"	-	GCST004722	1:42036610	28468790	"Agopian AJ"
rs55788414-?	6E-8	-	NR	5.815446	-	[3.082993-10.969667]	PKD1L2	"Left ventricular obstructive tract defect (maternal effect)"	"congenital left-sided heart lesions"	-	GCST004722	16:81151334	28468790	"Agopian AJ"
rs642743-?	9E-6	-	NR	1.6267596	-	[1.31-2.02]	CFAP43	"Left ventricular obstructive tract defect (maternal effect)"	"congenital left-sided heart lesions"	-	GCST004722	10:104173659	28468790	"Agopian AJ"
rs77471149-?	9E-7	-	NR	2.001385	-	[1.52-2.64]	ANXA10,RN7SKP188	"Left ventricular obstructive tract defect (maternal effect)"	"congenital left-sided heart lesions"	-	GCST004722	4:167914184	28468790	"Agopian AJ"
rs77698332-G	3E-6	-	0.035	2.12	-	[1.56-2.88]	IFTAP,RPL7AP56	"Idiopathic dilated cardiomyopathy"	"idiopathic dilated cardiomyopathy"	-	GCST005588	11:36851214	29495422	"Xu H"
rs145355401-C	7E-6	-	0.019	2.48	-	[1.67-3.68]	LINC01488,CCND1	"Idiopathic dilated cardiomyopathy"	"idiopathic dilated cardiomyopathy"	-	GCST005588	11:69577194	29495422	"Xu H"
rs11182052-T	6E-6	-	0.324	1.33	-	[1.48-3.99]	ZNF970P,AK6P2	"Idiopathic dilated cardiomyopathy"	"idiopathic dilated cardiomyopathy"	-	GCST005588	12:38056619	29495422	"Xu H"
rs7486169-G	2E-6	-	0.108	1.07	-	[1.12-15.22]	LINC02882	"Idiopathic dilated cardiomyopathy"	"idiopathic dilated cardiomyopathy"	-	GCST005588	12:74338244	29495422	"Xu H"
rs149932627-C	7E-6	-	0.012	2.55	-	[1.56-4.19]	TBX5-AS1,RN7SKP216	"Idiopathic dilated cardiomyopathy"	"idiopathic dilated cardiomyopathy"	-	GCST005588	12:114423872	29495422	"Xu H"
rs202209255-TC	2E-6	-	0.036	1.81	-	[1.32-2.48]	LINC00343	"Idiopathic dilated cardiomyopathy"	"idiopathic dilated cardiomyopathy"	-	GCST005588	13:105716734	29495422	"Xu H"
rs11862795-C	3E-6	-	0.038	1.84	-	[1.36-2.49]	TPSP2,PRSS29P	"Idiopathic dilated cardiomyopathy"	"idiopathic dilated cardiomyopathy"	-	GCST005588	16:1277391	29495422	"Xu H"
rs8047442-C	8E-6	-	0.368	1.34	-	[1.17-1.54]	WWOX	"Idiopathic dilated cardiomyopathy"	"idiopathic dilated cardiomyopathy"	-	GCST005588	16:78730200	29495422	"Xu H"
rs8051448-C	8E-6	-	0.1689	1.14	-	[1.2-7.98]	JPH3	"Idiopathic dilated cardiomyopathy"	"idiopathic dilated cardiomyopathy"	-	GCST005588	16:87644835	29495422	"Xu H"
rs115624974-A	4E-6	-	0.028	1.01	-	[1.03-90.9]	VMP1	"Idiopathic dilated cardiomyopathy"	"idiopathic dilated cardiomyopathy"	-	GCST005588	17:59826941	29495422	"Xu H"
rs78212518-T	6E-6	-	0.014	2.83	-	[1.8-4.46]	DNAH17	"Idiopathic dilated cardiomyopathy"	"idiopathic dilated cardiomyopathy"	-	GCST005588	17:78560033	29495422	"Xu H"
rs61815623-T	9E-6	-	0.032	1.74	-	[1.25-2.44]	EEF1A1P14,RNU6-983P	"Idiopathic dilated cardiomyopathy"	"idiopathic dilated cardiomyopathy"	-	GCST005588	1:194242065	29495422	"Xu H"
rs17016480-C	4E-6	-	0.35	1.44	-	[1.54-3.28]	IL19	"Idiopathic dilated cardiomyopathy"	"idiopathic dilated cardiomyopathy"	-	GCST005588	1:206815766	29495422	"Xu H"
