riskAllele	pValue	pValueAnnotation	riskFrequency	orValue	beta	ci	mappedGenes	traitName	efoTraits	bgTraits	accessionId	locations	pubmedId	author
chr3:122176238:D-TG	1E-8	(EA)	0.688	-	"0.028 unit decrease"	-	-	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	-	29507422	"Hoffmann TJ"
chr3:122176238:D-TG	2E-11	-	NR	-	"0.03 unit decrease"	-	-	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	-	29507422	"Hoffmann TJ"
rs112545201-C	2E-7	(EA)	0.867	-	"0.035 unit increase"	-	ETV5	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	3:186085743	29507422	"Hoffmann TJ"
rs112545201-C	6E-7	-	NR	-	"0.031 unit increase"	-	ETV5	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	3:186085743	29507422	"Hoffmann TJ"
rs138151052-T	8E-8	(EA)	0.711	-	"0.03 unit increase"	-	TMPRSS11E	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	4:68484175	29507422	"Hoffmann TJ"
rs138151052-T	2E-8	-	NR	-	"0.028 unit increase"	-	TMPRSS11E	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	4:68484175	29507422	"Hoffmann TJ"
rs2522061-G	4E-8	(EA)	0.792	-	"0.031 unit increase"	-	IRF1,CARINH	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	5:132468353	29507422	"Hoffmann TJ"
rs2522061-G	5E-9	-	NR	-	"0.029 unit increase"	-	IRF1,CARINH	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	5:132468353	29507422	"Hoffmann TJ"
chr9:19368272:D-TTTC	6E-6	(EA)	0.907	-	"0.037 unit decrease"	-	-	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	-	29507422	"Hoffmann TJ"
chr9:19368272:D-TTTC	3E-8	-	NR	-	"0.04 unit decrease"	-	-	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	-	29507422	"Hoffmann TJ"
rs74551598-A	3E-7	(EA)	0.747	-	"0.029 unit increase"	-	WHRN	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	9:114415286	29507422	"Hoffmann TJ"
rs74551598-A	2E-8	-	NR	-	"0.03 unit increase"	-	WHRN	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	9:114415286	29507422	"Hoffmann TJ"
rs57176252-C	7E-6	(EA)	0.956	-	"0.051 unit increase"	-	OIT3	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	10:72902835	29507422	"Hoffmann TJ"
rs57176252-C	3E-6	-	NR	-	"0.044 unit increase"	-	OIT3	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	10:72902835	29507422	"Hoffmann TJ"
rs11620731-T	2E-7	(EA)	0.147	-	"0.034 unit decrease"	-	COX16,SYNJ2BP-COX16	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	14:70350424	29507422	"Hoffmann TJ"
rs12983728-G	2E-7	-	NR	-	"0.031 unit increase"	-	ZNF274,ZNF329	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	19:58159900	29507422	"Hoffmann TJ"
rs2618568-C	1E-8	(EA)	0.396	-	"0.028 unit increase"	-	RNU6-192P,BANF2	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	20:17863324	29507422	"Hoffmann TJ"
rs2618568-C	5E-9	-	NR	-	"0.026 unit increase"	-	RNU6-192P,BANF2	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	20:17863324	29507422	"Hoffmann TJ"
rs2618566-G	2E-10	(EA)	0.35	-	"0.031 unit increase"	-	RNU6-192P,BANF2	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	20:17864040	29507422	"Hoffmann TJ"
rs2618566-G	5E-11	-	NR	-	"0.029 unit increase"	-	RNU6-192P,BANF2	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	20:17864040	29507422	"Hoffmann TJ"
rs6579245-C	3E-8	(EA)	0.85	-	"0.036 unit increase"	-	C20orf173,ERGIC3	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	20:35537447	29507422	"Hoffmann TJ"
rs6579245-C	5E-8	-	NR	-	"0.032 unit increase"	-	C20orf173,ERGIC3	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	20:35537447	29507422	"Hoffmann TJ"
rs3790136-A	4E-10	(EA)	0.836	-	"0.039 unit increase"	-	ERGIC3	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	20:35555507	29507422	"Hoffmann TJ"
rs3790136-A	5E-10	-	NR	-	"0.035 unit increase"	-	ERGIC3	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	20:35555507	29507422	"Hoffmann TJ"
rs2277862-C	2E-8	(EA)	0.846	-	"0.036 unit increase"	-	FER1L4	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	20:35564866	29507422	"Hoffmann TJ"
rs2277862-C	3E-8	-	NR	-	"0.032 unit increase"	-	FER1L4	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	20:35564866	29507422	"Hoffmann TJ"
rs2207132-G	2E-22	(EA)	0.963	-	"0.12 unit decrease"	-	LINC01370,MAFB	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	20:40513876	29507422	"Hoffmann TJ"
rs2207132-G	2E-22	-	NR	-	"0.119 unit decrease"	-	LINC01370,MAFB	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	20:40513876	29507422	"Hoffmann TJ"
rs6016373-A	1E-13	(EA)	0.616	-	"0.035 unit increase"	-	LINC01370,MAFB	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	20:40525455	29507422	"Hoffmann TJ"
rs6016373-A	1E-16	-	NR	-	"0.036 unit increase"	-	LINC01370,MAFB	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	20:40525455	29507422	"Hoffmann TJ"
rs6029526-T	1E-9	(EA)	0.53	-	"0.028 unit decrease"	-	TOP1	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	20:41043978	29507422	"Hoffmann TJ"
rs6029526-T	2E-10	-	NR	-	"0.027 unit decrease"	-	TOP1	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	20:41043978	29507422	"Hoffmann TJ"
rs4297946-G	7E-10	(EA)	0.543	-	"0.029 unit decrease"	-	ZHX3,PLCG1	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	20:41182635	29507422	"Hoffmann TJ"
rs4297946-G	2E-10	-	NR	-	"0.027 unit decrease"	-	ZHX3,PLCG1	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	20:41182635	29507422	"Hoffmann TJ"
rs6029626-G	5E-12	(EA)	0.557	-	"0.033 unit decrease"	-	ZHX3,ADI1P1	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	20:41321314	29507422	"Hoffmann TJ"
rs6029626-G	2E-12	-	NR	-	"0.03 unit decrease"	-	ZHX3,ADI1P1	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	20:41321314	29507422	"Hoffmann TJ"
rs1800961-C	1E-7	(EA)	0.969	-	"0.071 unit increase"	-	HNF4A	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	20:44413724	29507422	"Hoffmann TJ"
rs1800961-C	5E-10	-	NR	-	"0.076 unit increase"	-	HNF4A	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	20:44413724	29507422	"Hoffmann TJ"
rs3747207-G	5E-8	(EA)	0.781	-	"0.032 unit increase"	-	PNPLA3	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	22:43928975	29507422	"Hoffmann TJ"
rs3747207-G	4E-9	-	NR	-	"0.03 unit increase"	-	PNPLA3	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	22:43928975	29507422	"Hoffmann TJ"
rs11620731-T	7E-9	-	NR	-	"0.034 unit decrease"	-	COX16,SYNJ2BP-COX16	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	14:70350424	29507422	"Hoffmann TJ"
rs17580-T	3E-7	(EA)	0.959	-	"0.06 unit decrease"	-	SERPINA1	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	14:94380925	29507422	"Hoffmann TJ"
rs17580-T	1E-9	-	NR	-	"0.067 unit decrease"	-	SERPINA1	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	14:94380925	29507422	"Hoffmann TJ"
rs67890964-T	1E-7	(EA)	0.635	-	"0.025 unit increase"	-	OSGIN1,MLYCD	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	16:83945712	29507422	"Hoffmann TJ"
rs67890964-T	1E-8	-	NR	-	"0.025 unit increase"	-	OSGIN1,MLYCD	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	16:83945712	29507422	"Hoffmann TJ"
rs2645492-G	2E-6	-	NR	-	"0.024 unit increase"	-	VMP1	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	17:59798193	29507422	"Hoffmann TJ"
rs306890-T	7E-19	(EA)	0.754	-	"0.049 unit decrease"	-	SPRY3	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	Y:56944005,X:155757485	29507422	"Hoffmann TJ"
rs306890-T	1E-22	-	NR	-	"0.048 unit decrease"	-	SPRY3	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	Y:56944005,X:155757485	29507422	"Hoffmann TJ"
rs586178-G	4E-7	(EA)	0.555	-	"0.026 unit decrease"	-	RHCE	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:25420739	29507422	"Hoffmann TJ"
rs586178-G	6E-8	-	NR	-	"0.026 unit decrease"	-	RHCE	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:25420739	29507422	"Hoffmann TJ"
chr1:25766501:I-C	5E-9	(EA)	0.473	-	"0.027 unit decrease"	-	-	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	-	29507422	"Hoffmann TJ"
chr1:25766501:I-C	3E-10	-	NR	-	"0.027 unit decrease"	-	-	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	-	29507422	"Hoffmann TJ"
rs10903129-A	8E-9	(EA)	0.459	-	"0.026 unit decrease"	-	MACO1	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:25442446	29507422	"Hoffmann TJ"
rs10903129-A	2E-9	-	NR	-	"0.025 unit decrease"	-	MACO1	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:25442446	29507422	"Hoffmann TJ"
rs12027135-A	7E-9	(EA)	0.461	-	"0.027 unit decrease"	-	MACO1	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:25449242	29507422	"Hoffmann TJ"
rs12027135-A	9E-10	-	NR	-	"0.026 unit decrease"	-	MACO1	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:25449242	29507422	"Hoffmann TJ"
rs193084249-A	2E-6	(EA)	0.98	-	"0.087 unit decrease"	-	ARID1A,RNU7-29P	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:26661155	29507422	"Hoffmann TJ"
rs193084249-A	2E-6	-	NR	-	"0.087 unit decrease"	-	ARID1A,RNU7-29P	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:26661155	29507422	"Hoffmann TJ"
rs2495504-C	2E-6	(EA)	0.288	-	"0.024 unit increase"	-	PCSK9,BSND	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:55020123	29507422	"Hoffmann TJ"
rs2495504-C	8E-9	-	NR	-	"0.026 unit increase"	-	PCSK9,BSND	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:55020123	29507422	"Hoffmann TJ"
rs12117661-C	5E-22	(EA)	0.751	-	"0.052 unit increase"	-	PCSK9,BSND	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:55021673	29507422	"Hoffmann TJ"
rs12117661-C	7E-26	-	NR	-	"0.052 unit increase"	-	PCSK9,BSND	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:55021673	29507422	"Hoffmann TJ"
rs17111503-A	5E-18	(EA)	0.73	-	"0.049 unit decrease"	-	BSND,PCSK9	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:55037775	29507422	"Hoffmann TJ"
rs17111503-A	6E-19	-	NR	-	"0.045 unit decrease"	-	BSND,PCSK9	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:55037775	29507422	"Hoffmann TJ"
rs2479409-G	9E-19	(EA)	0.366	-	"0.05 unit increase"	-	BSND,PCSK9	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:55038977	29507422	"Hoffmann TJ"
rs11591147-G	5E-56	(EA)	0.987	-	"0.413 unit increase"	-	PCSK9	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:55039974	29507422	"Hoffmann TJ"
rs11591147-G	9E-11	(Hispanic)	0.989	-	"0.464 unit increase"	-	PCSK9	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:55039974	29507422	"Hoffmann TJ"
rs11591147-G	5E-11	-	NR	-	"0.458 unit increase"	-	PCSK9	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:55039974	29507422	"Hoffmann TJ"
rs2495477-A	3E-21	(EA)	0.625	-	"0.052 unit increase"	-	PCSK9	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:55052794	29507422	"Hoffmann TJ"
rs2495477-A	1E-6	-	NR	-	"0.067 unit increase"	-	PCSK9	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:55052794	29507422	"Hoffmann TJ"
rs28362263-G	5E-7	(AA)	0.922	-	"0.241 unit increase"	-	PCSK9	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:55058182	29507422	"Hoffmann TJ"
rs28362263-G	4E-7	-	NR	-	"0.233 unit increase"	-	PCSK9	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:55058182	29507422	"Hoffmann TJ"
rs191448950-G	1E-27	(EA)	0.994	-	"0.339 unit increase"	-	USP24	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:55119171	29507422	"Hoffmann TJ"
rs191448950-G	5E-29	-	NR	-	"0.338 unit increase"	-	USP24	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:55119171	29507422	"Hoffmann TJ"
rs287227-G	3E-26	(EA)	0.866	-	"0.072 unit increase"	-	USP24	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:55190402	29507422	"Hoffmann TJ"
rs287227-G	5E-28	-	NR	-	"0.067 unit increase"	-	USP24	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:55190402	29507422	"Hoffmann TJ"
rs9988450-C	1E-34	(EA)	0.675	-	"0.06 unit increase"	-	DOCK7	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:62458777	29507422	"Hoffmann TJ"
rs9988450-C	4E-8	(Hispanic)	0.639	-	"0.086 unit increase"	-	DOCK7	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:62458777	29507422	"Hoffmann TJ"
rs9988450-C	6E-43	-	NR	-	"0.061 unit increase"	-	DOCK7	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:62458777	29507422	"Hoffmann TJ"
rs2131925-G	7E-35	(EA)	0.328	-	"0.06 unit decrease"	-	DOCK7	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:62560271	29507422	"Hoffmann TJ"
rs2131925-G	9E-8	(Hispanic)	0.371	-	"0.083 unit decrease"	-	DOCK7	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:62560271	29507422	"Hoffmann TJ"
rs2131925-G	4E-43	-	NR	-	"0.061 unit decrease"	-	DOCK7	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:62560271	29507422	"Hoffmann TJ"
rs11207995-A	2E-33	(EA)	0.674	-	"0.059 unit increase"	-	DOCK7	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:62583880	29507422	"Hoffmann TJ"
rs11207995-A	5E-8	(Hispanic)	0.655	-	"0.087 unit increase"	-	DOCK7	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:62583880	29507422	"Hoffmann TJ"
rs11207995-A	2E-42	-	NR	-	"0.061 unit increase"	-	DOCK7	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:62583880	29507422	"Hoffmann TJ"
rs1748195-C	3E-35	(EA)	0.672	-	"0.06 unit increase"	-	DOCK7	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:62583922	29507422	"Hoffmann TJ"
rs1748195-C	2E-7	(Hispanic)	0.629	-	"0.081 unit increase"	-	DOCK7	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:62583922	29507422	"Hoffmann TJ"
rs1748195-C	3E-43	-	NR	-	"0.061 unit increase"	-	DOCK7	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:62583922	29507422	"Hoffmann TJ"
rs3850634-T	3E-34	(EA)	0.674	-	"0.06 unit increase"	-	DOCK7	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:62584927	29507422	"Hoffmann TJ"
rs3850634-T	4E-9	(Hispanic)	0.656	-	"0.093 unit increase"	-	DOCK7	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:62584927	29507422	"Hoffmann TJ"
rs12740374-G	4E-11	(AA)	0.756	-	"0.196 unit increase"	-	CELSR2	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:109274968	29507422	"Hoffmann TJ"
rs12740374-G	2E-168	-	NR	-	"0.148 unit increase"	-	CELSR2	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:109274968	29507422	"Hoffmann TJ"
rs660240-T	3E-126	(EA)	0.211	-	"0.14 unit decrease"	-	CELSR2	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:109275216	29507422	"Hoffmann TJ"
rs660240-T	4E-20	(Hispanic)	0.199	-	"0.173 unit decrease"	-	CELSR2	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:109275216	29507422	"Hoffmann TJ"
rs660240-T	2E-7	(AA)	0.321	-	"0.143 unit decrease"	-	CELSR2	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:109275216	29507422	"Hoffmann TJ"
rs660240-T	4E-154	-	NR	-	"0.143 unit decrease"	-	CELSR2	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:109275216	29507422	"Hoffmann TJ"
rs629301-G	7E-135	(EA)	0.219	-	"0.142 unit decrease"	-	CELSR2	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:109275684	29507422	"Hoffmann TJ"
rs629301-G	5E-21	(Hispanic)	0.209	-	"0.173 unit decrease"	-	CELSR2	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:109275684	29507422	"Hoffmann TJ"
rs629301-G	4E-8	(AA)	0.336	-	"0.149 unit decrease"	-	CELSR2	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:109275684	29507422	"Hoffmann TJ"
rs629301-G	3E-164	-	NR	-	"0.145 unit decrease"	-	CELSR2	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:109275684	29507422	"Hoffmann TJ"
rs646776-C	2E-134	(EA)	0.219	-	"0.142 unit decrease"	-	PSRC1,CELSR2	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:109275908	29507422	"Hoffmann TJ"
rs646776-C	2E-21	(Hispanic)	0.209	-	"0.175 unit decrease"	-	PSRC1,CELSR2	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:109275908	29507422	"Hoffmann TJ"
rs646776-C	5E-8	(AA)	0.334	-	"0.148 unit decrease"	-	PSRC1,CELSR2	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:109275908	29507422	"Hoffmann TJ"
rs646776-C	4E-164	-	NR	-	"0.144 unit decrease"	-	PSRC1,CELSR2	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:109275908	29507422	"Hoffmann TJ"
rs3902354-C	2E-91	(EA)	0.331	-	"0.106 unit decrease"	-	PSRC1,CELSR2	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:109276674	29507422	"Hoffmann TJ"
rs3902354-C	6E-13	(Hispanic)	0.308	-	"0.117 unit decrease"	-	PSRC1,CELSR2	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:109276674	29507422	"Hoffmann TJ"
rs3902354-C	2E-109	-	NR	-	"0.107 unit decrease"	-	PSRC1,CELSR2	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:109276674	29507422	"Hoffmann TJ"
rs599839-G	7E-133	(EA)	0.228	-	"0.136 unit decrease"	-	CELSR2,PSRC1	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:109279544	29507422	"Hoffmann TJ"
rs599839-G	9E-17	(Hispanic)	0.233	-	"0.147 unit decrease"	-	CELSR2,PSRC1	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:109279544	29507422	"Hoffmann TJ"
rs599839-G	9E-154	-	NR	-	"0.135 unit decrease"	-	CELSR2,PSRC1	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:109279544	29507422	"Hoffmann TJ"
rs2642438-A	3E-16	(EA)	0.293	-	"0.041 unit decrease"	-	MTARC1	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:220796686	29507422	"Hoffmann TJ"
rs2642438-A	4E-20	-	NR	-	"0.042 unit decrease"	-	MTARC1	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:220796686	29507422	"Hoffmann TJ"
rs2807834-T	1E-13	(EA)	0.312	-	"0.037 unit decrease"	-	MTARC1	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:220797251	29507422	"Hoffmann TJ"
rs2807834-T	4E-16	-	NR	-	"0.037 unit decrease"	-	MTARC1	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:220797251	29507422	"Hoffmann TJ"
rs2642442-C	2E-13	(EA)	0.315	-	"0.036 unit decrease"	-	MTARC1	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:220800221	29507422	"Hoffmann TJ"
rs3850634-T	6E-44	-	NR	-	"0.062 unit increase"	-	DOCK7	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:62584927	29507422	"Hoffmann TJ"
rs10889348-A	7E-34	(EA)	0.673	-	"0.059 unit increase"	-	DOCK7	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:62612551	29507422	"Hoffmann TJ"
rs10889348-A	2E-9	(Hispanic)	0.66	-	"0.096 unit increase"	-	DOCK7	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:62612551	29507422	"Hoffmann TJ"
rs10889348-A	2E-43	-	NR	-	"0.062 unit increase"	-	DOCK7	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:62612551	29507422	"Hoffmann TJ"
rs6587980-C	4E-35	(EA)	0.673	-	"0.06 unit increase"	-	DOCK7	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:62625187	29507422	"Hoffmann TJ"
rs6587980-C	3E-8	(Hispanic)	0.634	-	"0.087 unit increase"	-	DOCK7	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:62625187	29507422	"Hoffmann TJ"
rs6587980-C	7E-44	-	NR	-	"0.062 unit increase"	-	DOCK7	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:62625187	29507422	"Hoffmann TJ"
rs12047226-T	2E-35	(EA)	0.678	-	"0.061 unit increase"	-	DOCK7	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:62639867	29507422	"Hoffmann TJ"
rs12047226-T	6E-9	(Hispanic)	0.66	-	"0.093 unit increase"	-	DOCK7	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:62639867	29507422	"Hoffmann TJ"
rs12047226-T	3E-45	-	NR	-	"0.063 unit increase"	-	DOCK7	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:62639867	29507422	"Hoffmann TJ"
rs11164654-T	4E-8	(EA)	0.209	-	"0.031 unit decrease"	-	EVI5,GFI1	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:92502755	29507422	"Hoffmann TJ"
rs11164654-T	7E-8	-	NR	-	"0.029 unit decrease"	-	EVI5,GFI1	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:92502755	29507422	"Hoffmann TJ"
rs2027061-C	2E-8	(EA)	0.23	-	"0.032 unit decrease"	-	EVI5	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:92535873	29507422	"Hoffmann TJ"
rs2027061-C	1E-8	-	NR	-	"0.03 unit decrease"	-	EVI5	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:92535873	29507422	"Hoffmann TJ"
rs7515577-C	2E-8	(EA)	0.203	-	"0.032 unit decrease"	-	EVI5	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:92543881	29507422	"Hoffmann TJ"
rs7515577-C	5E-8	-	NR	-	"0.029 unit decrease"	-	EVI5	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:92543881	29507422	"Hoffmann TJ"
rs6657811-A	2E-47	(EA)	0.88	-	"0.109 unit increase"	-	CELSR2	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:109264661	29507422	"Hoffmann TJ"
rs6657811-A	8E-7	(Hispanic)	0.905	-	"0.128 unit increase"	-	CELSR2	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:109264661	29507422	"Hoffmann TJ"
rs6657811-A	2E-54	-	NR	-	"0.11 unit increase"	-	CELSR2	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:109264661	29507422	"Hoffmann TJ"
rs7528419-A	5E-134	(EA)	0.781	-	"0.143 unit increase"	-	CELSR2	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:109274570	29507422	"Hoffmann TJ"
rs7528419-A	1E-23	(Hispanic)	0.797	-	"0.187 unit increase"	-	CELSR2	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:109274570	29507422	"Hoffmann TJ"
rs7528419-A	1E-10	(AA)	0.748	-	"0.19 unit increase"	-	CELSR2	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:109274570	29507422	"Hoffmann TJ"
rs7528419-A	4E-167	-	NR	-	"0.147 unit increase"	-	CELSR2	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:109274570	29507422	"Hoffmann TJ"
rs12740374-G	9E-135	(EA)	0.782	-	"0.143 unit increase"	-	CELSR2	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:109274968	29507422	"Hoffmann TJ"
rs12740374-G	5E-24	(Hispanic)	0.798	-	"0.189 unit increase"	-	CELSR2	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	1:109274968	29507422	"Hoffmann TJ"
rs2678379-A	3E-17	(EA)	0.215	-	"0.047 unit decrease"	-	APOB	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	2:21003688	29507422	"Hoffmann TJ"
rs2678379-A	1E-11	-	NR	-	"0.034 unit decrease"	-	APOB	"Total cholesterol levels"	"total cholesterol measurement"	-	GCST007143	2:21003688	29507422	"Hoffmann TJ"
